accession,strain,gene,genotype
AB981468,A/duck/Nha_Trang/21/2013(H6N2),NA,N2
AF508588,A/Chicken/Henan/62/00(H9N2),NA,N2
CY014823,A/chicken/New_York/13828_3/1995(H2N2),NA,N2
DQ366308,A/duck/Vietnam/1/2005(H5N1),NA,N1
DQ366316,A/goose/Vietnam/3/05(H5N1),NA,N1
DQ366324,A/duck/Vietnam/8/05(H5N1),NA,N1
EF070734,A/chicken/Gansu/2/99(H9N2),NA,N2
EF626677,A/chicken/Xuchang/A1/2000(H9N2),NA,N2
EF626678,A/chicken/Zhuhai/A1/2001(H9N2),NA,N2
EF626680,A/chicken/Henan/C4/2002(H9N2),NA,N2
EF626681,A/chicken/Huangdong/A1/2003(H9N2),NA,N2
EU753276,A/chicken/Shanghai/2/1999(H9N2),NA,N2
EU753284,A/chicken/Shanghai/3/2000(H9N2),NA,N2
GU722370,A/chicken/Guangxi/17/2007(H9N2),NA,N2
HM370058,A/chicken/Uchal/8293/2006(H9N2),NA,N2
HQ398362,A/chicken/Shandong/SD0014/2008(H9N2),NA,N2
JN653638,A/chicken/Shuanggou/1/2011(H9N2),NA,N2
JN653645,A/chicken/Qianzhou/12/2010(H9N2),NA,N2
JN653646,A/chicken/Anhui/10/2009(H9N2),NA,N2
JN653649,A/chicken/Yangzhou/11/2010(H9N2),NA,N2
JN653650,A/duck/Wuxi/7/2010(H9N2),NA,N2
JN653652,A/chicken/Taixing/10/2010(H9N2),NA,N2
JN869525,A/chicken/Zhejiang/Q1D4/2010(H9N2),NA,N2
JN869540,A/chicken/Guangdong/ZHJ/2011(H9N2),NA,N2
JQ356875,A/chicken/Zhejiang/329/2011(H9N2),NA,N2
JQ405084,A/chicken/Guangdong/YBS10/2011(H9N2),NA,N2
JQ770144,A/chicken/Zhejiang/KHZ12/2011(H9N2),NA,N2
JQ770146,A/chicken/Guangdong/ZW12/2011(H9N2),NA,N2
JQ770148,A/chicken/Zhejiang/ZGPL12/2011(H9N2),NA,N2
JQ770149,A/chicken/Zhejiang/SYP12/2011(H9N2),NA,N2
JQ770150,A/chicken/Guangdong/LWZ11/2011(H9N2),NA,N2
JQ770154,A/chicken/Guangdong/SQL10/2011(H9N2),NA,N2
JQ770158,A/chicken/Guangdong/CYH12/2011(H9N2),NA,N2
JQ770163,A/chicken/Guangxi/LYY12/2011(H9N2),NA,N2
KC417052,A/chicken/Shanghai/C1/2012(H9N2),NA,N2
KC417053,A/chicken/Shanghai/C2/2012(H9N2),NA,N2
KC417054,A/chicken/Shanghai/C3/2012(H9N2),NA,N2
KC464600,A/brambling/Beijing/16/2012(H9N2),NA,N2
KC767261,A/chicken/Shaanxi/11/2012(H9N2),NA,N2
KC768045,A/duck/Shanghai/C60/2007(H9N2),NA,N2
KC768046,A/duck/Shanghai/C163/2009(H9N2),NA,N2
KC779051,A/swine/Henan/Y1/2009(H9N2),NA,N2
KC951124,A/chicken/Guangdong/LG1/2013(H9N2),NA,N2
KF042143,A/chicken/Zhejiang/C484/2013(H9N2),NA,N2
KF150636,A/chicken/Jiangsu/1001/2013(H5N2),NA,N2
KF259503,A/chukkar/Hong_Kong/CSW948/2008(H9N2),NA,N2
KF259513,A/pheasant/Hong_Kong/NT279W/2009(H9N2),NA,N2
KF259514,A/chicken/Hong_Kong/FL96/2010(H9N2),NA,N2
KF259536,A/chicken/Hong_Kong/TSTB32W/2011(H9N2),NA,N2
KF259545,A/chicken/Hong_Kong/TC8/2012(H9N2),NA,N2
KF259546,A/chicken/Hong_Kong/FY6W/2012(H9N2),NA,N2
KF259561,A/chicken/Wenzhou/598/2013(H9N2),NA,N2
KF259562,A/chicken/Wenzhou/253/2013(H9N2),NA,N2
KF259564,A/chicken/Wenzhou/614/2013(H9N2),NA,N2
KF259590,A/silkie_chicken/Wenzhou/796/2013(H9N2),NA,N2
KF367733,A/chicken/Guangdong/G7/2009(H9N2),NA,N2
KF367740,A/chicken/Guangxi/G8/2009(H9N2),NA,N2
KF746764,A/chicken/Hebei/274/2009(H9N2),NA,N2
KF746804,A/chicken/Shandong/513/2011(H9N2),NA,N2
KF746821,A/chicken/Shandong/377/2009(H9N2),NA,N2
KF886395,A/chicken/Jilin/DH104/2012(H9N2),NA,N2
KF886403,A/chicken/Jilin/DH108/2012(H9N2),NA,N2
KF886435,A/chicken/Jilin/SJ15/2012(H9N2),NA,N2
KF886475,A/chicken/Jilin/SJJT/2012(H9N2),NA,N2
KF886507,A/chicken/Jilin/GYH2_1/2012(H9N2),NA,N2
KF886515,A/chicken/Jilin/GYH3_1/2012(H9N2),NA,N2
KJ200855,A/duck/Hubei/S4135/2010(H6N2),NA,N2
KJ426341,A/chicken/Shandong/0613/2012(H9N2),NA,N2
KJ426346,A/chicken/Jiangsu/YZLH3/2013(H9N2),NA,N2
KJ426422,A/chicken/Jiangsu/B20/2011(H9N2),NA,N2
KJ426425,A/chicken/Shandong/B1/2010(H9N2),NA,N2
KJ426507,A/chicken/Henan/01/2009(H9N2),NA,N2
KJ426509,A/chicken/Anhui/02/2008(H9N2),NA,N2
KJ426512,A/chicken/Jiangsu/02/2008(H9N2),NA,N2
KJ426515,A/chicken/Henan/Z01/2007(H9N2),NA,N2
KJ426516,A/chicken/Jiangsu/01/2007(H9N2),NA,N2
KJ439869,A/duck/Zhejiang/D11/2013(H3N2),NA,N2
KJ726701,A/chicken/Shanghai/A/2010(H9N2),NA,N2
KJ726702,A/chicken/Shanghai/B/2010(H9N2),NA,N2
KJ726703,A/chicken/Shanghai/C/2011(H9N2),NA,N2
KJ726704,A/chicken/Shanghai/D/2011(H9N2),NA,N2
KJ726705,A/chicken/Shanghai/1107/2013(H9N2),NA,N2
KJ726706,A/wild_chicken/Shanghai/C1/2014(H9N2),NA,N2
KJ907689,A/duck/Jilin/JL_2/2012(H9N2),NA,N2
KM113071,A/chicken/Shanghai/SC197/2013(H9N2),NA,N2
KM113087,A/chicken/Jiangsu/C4258/2012(H9N2),NA,N2
KM113119,A/chicken/Guangxi/C4080/2010(H9N2),NA,N2
KM113135,A/chicken/Guizhou/C4058/2011(H9N2),NA,N2
KM113151,A/chicken/Hunan/C3229/2012(H9N2),NA,N2
KM113159,A/chicken/Jiangsu/C3226/2012(H9N2),NA,N2
KM113183,A/chicken/Jiangsu/C3089/2011(H9N2),NA,N2
KM113199,A/chicken/Guangxi/C2163/2012(H9N2),NA,N2
KM113215,A/chicken/Chongqing/C2093/2013(H9N2),NA,N2
KM113231,A/chicken/Guangxi/C1435/2012(H9N2),NA,N2
KM113239,A/chicken/Chongqing/C1258/2011(H9N2),NA,N2
KM113287,A/chicken/Guangdong/C1122/2011(H9N2),NA,N2
KM455874,A/Lengshuitan/11197/2013(H9N2),NA,N2
KP000025,A/chicken/Shijiazhuang/1209/2013(H5N2),NA,N2
KP178522,A/ostrich/Hebei/179/2014(H9N2),NA,N2
KP185541,A/chicken/Chongqing/A52/2011(H9N2),NA,N2
KP185545,A/chicken/Hainan/I22/2011(H9N2),NA,N2
KP185547,A/chicken/Henan/52/2011(H9N2),NA,N2
KP185553,A/chicken/Ningxia/1/2011(H9N2),NA,N2
KP185559,A/ck/Guizhou/6/2011(H9N2),NA,N2
KP185561,A/pigeon/Anhui/A124/2013(H9N2),NA,N2
KP285063,A/duck/Jiangxi/36505/2013(H9N2),NA,N2
KP285071,A/chicken/Jiangxi/8209/2013(H9N2),NA,N2
KP285295,A/chicken/Jiangxi/29099/2013(H9N2),NA,N2
KP285343,A/chicken/Jiangxi/11708/2013(H9N2),NA,N2
KP285439,A/chicken/Jiangxi/31872/2013(H9N2),NA,N2
KP403996,A/chicken/Shanghai/HY003/2014(H9N2),NA,N2
KP404003,A/chicken/Shanghai/014/2014(H9N2),NA,N2
KP404004,A/chicken/Shanghai/015/2014(H9N2),NA,N2
KP414229,A/chicken/Shenzhen/317/2013(H9N2),NA,N2
KP414237,A/chicken/Shenzhen/354/2013(H9N2),NA,N2
KP414245,A/chicken/Shenzhen/1519/2013(H9N2),NA,N2
KP414341,A/chicken/Shenzhen/1098/2013(H9N2),NA,N2
KP414367,A/chicken/Shenzhen/1377/2013(H9N2),NA,N2
KP414407,A/chicken/Shenzhen/1638/2013(H9N2),NA,N2
KP414415,A/chicken/Shenzhen/1657/2013(H9N2),NA,N2
KP414423,A/chicken/Shenzhen/1737/2013(H9N2),NA,N2
KP414511,A/chicken/Shenzhen/2636/2013(H9N2),NA,N2
KP414615,A/chicken/Dongguan/3550/2013(H9N2),NA,N2
KP414647,A/chicken/Dongguan/3964/2013(H9N2),NA,N2
KP414663,A/silkie_chicken/Dongguan/4184/2013(H9N2),NA,N2
KP414768,A/chicken/Suzhou/4957/2013(H9N2),NA,N2
KP414829,A/chicken/Shenzhen/2121/2013(H9N2),NA,N2
KP415229,A/chicken/Rizhao/2670/2013(H9N2),NA,N2
KP415246,A/chicken/Juxian/3387/2013(H9N2),NA,N2
KP415376,A/chicken/Wenzhou/3330/2013(H9N2),NA,N2
KP865973,A/chicken/Shanghai/2/2004(H9N2),NA,N2
KP865979,A/chicken/Shanghai/340/2009(H9N2),NA,N2
KP865980,A/chicken/Shanghai/441/2009(H9N2),NA,N2
KP865987,A/chicken/Guangdong/1683/2009(H9N2),NA,N2
KP866005,A/chicken/Hunan/B445/2011(H9N2),NA,N2
KP866009,A/chicken/Guangdong/C76/2012(H9N2),NA,N2
KP866014,A/chicken/Jiangsu/C1020/2012(H9N2),NA,N2
KT216656,A/chicken/Zhejiang/JX1605/2013(H9N2),NA,N2
KT338302,A/chicken/Shandong/1167/2015(H9N2),NA,N2
KT423157,A/chicken/Zhejiang/77001/2014(H6N2),NA,N2
KT449615,A/chicken/Qingdao/004/2014(H9N2),NA,N2
KT449618,A/chicken/Qingdao/007/2014(H9N2),NA,N2
KT449624,A/chicken/Qingdao/013/2014(H9N2),NA,N2
KT449626,A/chicken/Qingdao/015/2014(H9N2),NA,N2
KT449628,A/chicken/Qingdao/017/2014(H9N2),NA,N2
KU042361,A/quail/Zhejiang/2A5/2013(H9N2),NA,N2
KU042362,A/quail/Zhejiang/2A6/2013(H9N2),NA,N2
KU042363,A/pigeon/Zhejiang/P3/2013(H9N2),NA,N2
KU042364,A/pigeon/Zhejiang/P4/2013(H9N2),NA,N2
KU042365,A/pigeon/Zhejiang/P5/2013(H9N2),NA,N2
KU042391,A/chicken/Zhejiang/C50/2013(H9N2),NA,N2
KU042601,A/duck/Zhejiang/727036/2014(H9N2),NA,N2
KU042607,A/chicken/Zhejiang/3C34/2014(H9N2),NA,N2
KU042611,A/chicken/Zhejiang/727192/2014(H9N2),NA,N2
KU042615,A/chicken/Zhejiang/925117/2014(H9N2),NA,N2
KU042616,A/chicken/Zhejiang/925122/2014(H9N2),NA,N2
KU143352,A/chicken/Wuhan/JXQL01/2015(H9N2),NA,N2
KU217318,A/Zhongshan/201501/2015(H9N2),NA,N2
KU720445,A/chicken/Shanghai/02/2015(H9N2),NA,N2
KU762394,A/goose/Anhui/1221/2012(H9N2),NA,N2
KU762395,A/chicken/Anhui/1222/2012(H9N2),NA,N2
KU762407,A/chicken/Anhui/528/2014(H9N2),NA,N2
KX595340,A/Hunan/44557/2015(H9N2),NA,N2
KX598472,A/chicken/Guangdong/SIC31/2014(H9N2),NA,N2
KX598475,A/chicken/Hubei/SIC3/2012(H9N2),NA,N2
KX598489,A/chicken/Zhejiang/SIC32/2014(H9N2),NA,N2
KX598496,A/chicken/Shandong/SIC26/2014(H9N2),NA,N2
KX598501,A/chicken/Guangdong/SIC29/2014(H9N2),NA,N2
KX598504,A/chicken/Guangdong/SIC41/2015(H9N2),NA,N2
KX598506,A/chicken/Sichuan/SIC36/2014(H9N2),NA,N2
KX598508,A/chicken/Guangdong/SIC38/2015(H9N2),NA,N2
KX598511,A/chicken/Jiangsu/SIC11/2013(H9N2),NA,N2
KX598512,A/chicken/Hainan/SIC33/2014(H9N2),NA,N2
KX768863,A/chicken/Sichuan/LB/2013(H9N2),NA,N2
KX768864,A/chicken/Sichuan/XJ/2014(H9N2),NA,N2
KX768866,A/chicken/Chongqing/LP/2015(H9N2),NA,N2
KX768867,A/chicken/Guizhou/QZ/2015(H9N2),NA,N2
KX768871,A/chicken/Chongqing/CQ/2016(H9N2),NA,N2
KY608233,A/goose/Jiangsu/YZ527/2011(H9N2),NA,N2
KY608249,A/goose/Jiangsu/JD564/2012(H9N2),NA,N2
KY794613,A/chicken/Guangdong/835/2016(H9N2),NA,N2
KY794621,A/duck/Guangdong/222/2015(H9N2),NA,N2
LC408989,A/Fukuoka/DS7_10/2016(H3N2),NA,N2
MF113060,A/chicken/Jiangxi/12/2011(H9N2),NA,N2
MF113098,A/chicken/Jiangxi/17/2011(H9N2),NA,N2
MF113105,A/duck/Jiangxi/18/2011(H9N2),NA,N2
MF440730,A/Beijing/1/2016(H9N2),NA,N2
MF440738,A/Beijing/1/2017(H9N2),NA,N2
MF794993,A/chicken/Jingmen/JM0305/2017(H9N2),NA,N2
MF795001,A/chicken/Daye/DY0602/2017(H9N2),NA,N2
MG051188,A/chicken/Anhui/AH326/2016(H9N2),NA,N2
MG063457,A/chicken/Huaian/HA9/2016(H9N2),NA,N2
MG063458,A/chicken/Anhui/AH329/2016(H9N2),NA,N2
MG063460,A/chicken/Suqian/SQ1602/2016(H9N2),NA,N2
MG192155,A/chicken/Fujian/SD037/2017(H9N2),NA,N2
MG192158,A/chicken/Fujian/S1XA35/2017(H9N2),NA,N2
MG280636,A/chicken/Shandong/C9YT/2011(H9N2),NA,N2
MG280671,A/chicken/Jiangsu/TM59/2013(H9N2),NA,N2
MG280705,A/chicken/Anhui/WB/2014(H9N2),NA,N2
MG781068,A/pigeon/Anhui/DGG4/2015(H9N2),NA,N2
MG984017,A/chicken/Shanghai/1106_58/2017(H9N2),NA,N2
MG984018,A/chicken/Shanghai/1106_65/2017(H9N2),NA,N2
MG984019,A/chicken/Shanghai/1127_30/2017(H9N2),NA,N2
MG984020,A/chicken/Shanghai/1127_35/2017(H9N2),NA,N2
MG984021,A/chicken/Shanghai/0710_9/2017(H9N2),NA,N2
MH271628,A/chicken/China/231/2017(H9N2),NA,N2
MH271630,A/chicken/China/233/2017(H9N2),NA,N2
MH271632,A/chicken/China/241/2017(H9N2),NA,N2
MH271636,A/chicken/China/330/2017(H9N2),NA,N2
MH489445,A/chicken/Anhui/LH66/2017(H9N2),NA,N2
MH489461,A/chicken/Jiangsu/TM306/2017(H9N2),NA,N2
MH489485,A/chicken/Jiangsu/TM314/2017(H9N2),NA,N2
MH489493,A/chicken/Jiangsu/TM315/2017(H9N2),NA,N2
MH592313,A/Duck/China/X1006/2015(H6N2),NA,N2
MH592315,A/Duck/China/ZS220/2016(H6N2),NA,N2
MH592316,A/Duck/China/FJ2253/2014(H6N2),NA,N2
MH592318,A/goose/China/G383/2014(H6N2),NA,N2
MK053832,A/chicken/Shanghai/10/2018(H9N2),NA,N2
MK053840,A/chicken/Shanghai/02/2018(H9N2),NA,N2
MK053864,A/chicken/Shanghai/07/2018(H9N2),NA,N2
MK106167,A/duck/Jurong/0902/2016(H9N2),NA,N2
MK106169,A/chicken/Jiangsu/S01/2013(H9N2),NA,N2
MK138610,A/chicken/Xuancheng/01/2018(H9N2),NA,N2
MK249999,A/chicken/Qingyuan/zd201601/2016(H9N2),NA,N2
MK963164,A/chicken/Viet_Nam/LS_0187/2013(H9N2),NA,N2
MK963326,A/chicken/Viet_Nam/QN_0574/2013(H9N2),NA,N2
MK963344,A/chicken/Viet_Nam/HN_0598/2013(H9N2),NA,N2
MK979322,A/chicken/China/LN14/2014(H9N2),NA,N2
MK979338,A/chicken/China/PJ03/2012(H9N2),NA,N2
MN135871,A/chicken/Fujian/SDLH35/2015(H9N2),NA,N2
MN135879,A/chicken/Jiangsu/JT138/2016(H9N2),NA,N2
MN135887,A/chicken/Jiangsu/JT141/2016(H9N2),NA,N2
MN759637,A/chicken/Shandong/6F/2019(H9N2),NA,N2
MN759646,A/chicken/Shandong/817/2019(H9N2),NA,N2
MN764205,A/chicken/Shandong/1757/2019(H9N2),NA,N2
MN765053,A/chicken/Shandong/1778/2019(H9N2),NA,N2
MN765107,A/chicken/Shandong/1807/2019(H9N2),NA,N2
MN765117,A/chicken/Shandong/1834/2019(H9N2),NA,N2
MN765149,A/chicken/Shandong/1844/2019(H9N2),NA,N2
MN780491,A/chicken/Shandong/FQ2/2019(H9N2),NA,N2
MN922898,A/chicken/China/nantong/2015(H9N2),NA,N2
MN922899,A/chicken/China/zouping/2015(H9N2),NA,N2
MN922901,A/chicken/nantong/01/2016(H9N2),NA,N2
MN922902,A/chicken/rizhao/01/2016(H9N2),NA,N2
MN922903,A/chicken/rizhao/02/2016(H9N2),NA,N2
MN922906,A/chicken/China/heze/2016(H9N2),NA,N2
MN922907,A/chicken/rizhao/03/2016(H9N2),NA,N2
MN922908,A/chicken/rizhao/04/2016(H9N2),NA,N2
MN922912,A/chicken/rizhao/07/2016(H9N2),NA,N2
MN922921,A/chicken/nantong/01/2017(H9N2),NA,N2
MT032410,A/chicken/Guangdong/28/2017(H9N2),NA,N2
EF541475,A/chicken/Viet_Nam/1/2004(H5N1),NA,N1
JX534551,A/wild_duck/Shandong/1/2011(H5N1),NA,N1
KT165366,A/turkey/Israel/174/2015(H5N1),NA,N1
AF036357,A/Hong_Kong/156/97(H5N1),NA,N1
AY518363,A/duck/China/E319_2/03(H5N1),NA,N1
CY103808,A/chicken/Viet_Nam/TMU008/2008(H5N1),NA,N1
CY110856,A/common_buzzard/Bulgaria/38WB/2010(H5N1),NA,N1
CY147328,A/BH/JY2/1935(H1N1),NA,N1
DQ835315,A/China/GD01/2006(H5N1),NA,N1
DQ997077,A/swine/Anhui/cb/2004(H5N1),NA,N1
DQ997150,A/chicken/Hubei/wn/2003(H5N1),NA,N1
DQ997263,A/swine/Guangxi/wz/2004(H5N1),NA,N1
DQ997277,A/goose/Jilin/hb/2003(H5N1),NA,N1
DQ997378,A/chicken/Jilin/hf/2002(H5N1),NA,N1
EF587279,A/Beijing/01/2003(H5N1),NA,N1
EU429778,A/duck/Eastern_China/37/2006(H5N1),NA,N1
GU182160,A/chicken/Hunan/8/2008(H5N1),NA,N1
HQ677024,A/chicken/Huadong/4/2008(H5N1),NA,N1
JX534575,A/wild_duck/Jilin/HF/2011(H5N1),NA,N1
KJ003989,A/duck/Hubei/xn/2007(H5N1),NA,N1
KP638517,A/Vietnam/UT31604_1/2009(H5N1),NA,N1
KP638518,A/Vietnam/UT31641_2/2008(H5N1),NA,N1
KP638519,A/Vietnam/HN31676DH/2009(H5N1),NA,N1
KR732427,A/chicken/Vietnam/NCVD_398/2010(H5N1),NA,N1
KR732462,A/chicken/Vietnam/NCVD_03/2008(H5N1),NA,N1
KT762433,A/duck/Hunan/S4020/2008(H5N1),NA,N1
KU143375,A/chicken/Wenzhou/RAQL01/2015(H7N9),NA,N9
KX513121,A/duck/Vietnam/LS101/2013(H5N1),NA,N1
KX513257,A/duck/Vietnam/QT1484/2012(H5N1),NA,N1
AM183679,A/chicken/Vietnam/P22/05(H5N1),NA,N1
AM183680,A/chicken/China/1204/04(H5N1),NA,N1
AM183681,A/chicken/Indonesia/R134/03(H5N1),NA,N1
AM749445,A/mute_swan/Germany/R1349/07(H5N1),NA,N1
AY653195,A/chicken/Jilin/9/2004(H5N1),NA,N1
AY737291,A/chicken/Guangdong/191/04(H5N1),NA,N1
AY737308,A/duck/Guangdong/173/04(H5N1),NA,N1
AY854191,A/duck/Shandong/093/2004(H5N1),NA,N1
CY017640,A/Indonesia/CDC938/2006(H5N1),NA,N1
CY038420,A/chicken/Pakistan/UDL_02/2005(H9N2),NA,N2
CY063320,A/great_crested_grebe/Qinghai/1/2009(H5N1),NA,N1
CY089477,A/chicken/India/TR0383/2011(H5N1),NA,N1
CY095681,A/chicken/Viet_Nam/TMU004/2008(H5N1),NA,N1
CY095687,A/chicken/Viet_Nam/TMU007/2008(H5N1),NA,N1
CY095690,A/chicken/Viet_Nam/TMU009/2008(H5N1),NA,N1
CY095696,A/duck/Viet_Nam/TMU021/2009(H5N1),NA,N1
CY095702,A/chicken/Viet_Nam/TMU025/2009(H5N1),NA,N1
CY103800,A/muscovy_duck/Viet_Nam/TMU001/2008(H5N1),NA,N1
CY103806,A/chicken/Viet_Nam/TMU006/2008(H5N1),NA,N1
CY103810,A/quail/Viet_Nam/TMU010/2008(H5N1),NA,N1
CY103814,A/muscovy_duck/Viet_Nam/TMU012/2008(H5N1),NA,N1
CY103816,A/chicken/Viet_Nam/TMU013/2008(H5N1),NA,N1
CY103818,A/muscovy_duck/Viet_Nam/TMU014/2008(H5N1),NA,N1
CY103834,A/duck/Viet_Nam/TMU027/2009(H5N1),NA,N1
CY103838,A/duck/Viet_Nam/TMU029/2009(H5N1),NA,N1
CY111091,A/chicken/India/82580/2008(H5N1),NA,N1
DQ227353,A/chicken/Yunnan/Xie_1/1999(H9N2),NA,N2
DQ836044,A/goose/Huadong/220/2004(H5N1),NA,N1
DQ914816,A/chicken/Shanxi/2/2006(H5N1),NA,N1
DQ997095,A/duck/Hubei/wg/2002(H5N1),NA,N1
DQ997125,A/chicken/Hubei/wk/1997(H5N1),NA,N1
DQ997211,A/mallard/Guangxi/wt/2004(H5N1),NA,N1
DQ997271,A/chicken/Jilin/ha/2003(H5N1),NA,N1
DQ997345,A/chicken/Jilin/hn/2003(H5N1),NA,N1
DQ997364,A/chicken/Jilin/hp/2003(H5N1),NA,N1
EF670480,A/duck/Hunan/15/2004(H5N1),NA,N1
EF670483,A/chicken/Hubei/14/2004(H5N1),NA,N1
EU216093,A/chicken/Yunnan/Chuxiong1/2007(H9N2),NA,N2
EU216106,A/duck/Yunnan/Yuxi2/2007(H9N2),NA,N2
EU263347,A/duck/Guangxi/12/2003(H5N1),NA,N1
EU329179,A/wild_duck/Hunan/021/2005(H5N1),NA,N1
EU429717,A/duck/Eastern_China/97/2001(H5N1),NA,N1
EU429758,A/duck/Eastern_China/54/2005(H5N1),NA,N1
EU429764,A/duck/Eastern_China/58/2005(H5N1),NA,N1
EU594351,A/duck/Hubei/Hangmei01/2006(H5N1),NA,N1
GU083655,A/chicken/West_Bengal/162642/2009(H5N1),NA,N1
GU252824,A/duck/Tripura/103597/2008(H5N1),NA,N1
GU272000,A/chicken/West_Bengal/155505/2009(H5N1),NA,N1
GU294118,A/Bethesda/NIH12_D6/2008(H3N2),NA,N2
GU596986,A/duck/Shandong/009/2008(H5N1),NA,N1
GU727671,A/duck/Eastern_China/108/2008(H5N1),NA,N1
GU727679,A/duck/Eastern_China/909/2009(H5N1),NA,N1
HM006753,A/Chicken/Laos/Xaythiani_26/2006(H5N1),NA,N1
HM370116,A/duck/Eastern_China/C82/2008(H6N1),NA,N1
HM370120,A/duck/Eastern_China/L22/2008(H5N1),NA,N1
HM370127,A/duck/Eastern_China/Y122/2008(H5N1),NA,N1
HQ200491,A/duck/Cambodia/D2KC167/2006(H5N1),NA,N1
JN790583,A/duck/Liaoning/Q1/2009(H5N1),NA,N1
JQ277227,A/chicken/Sheny/0606/2008(H5N1),NA,N1
JQ966929,A/condor/Guangdong/139/2003(H5N1),NA,N1
JX534559,A/wild_duck/Shandong/2/2011(H5N1),NA,N1
JX534567,A/wild_duck/Shandong/628/2011(H5N1),NA,N1
JX534583,A/wild_duck/Jilin/ZF/2011(H5N1),NA,N1
JX534591,A/wild_duck/Fujian/1/2011(H5N1),NA,N1
KC535010,A/Japanese_white_eye/Taoyuan/Q454/2012(H5N1),NA,N1
KC608160,A/duck/Guangxi/030D/2009(H1N1),NA,N1
KC690158,A/domestic_green_winged_teal/Hunan/3450/2006(H5N1),NA,N1
KF881403,A/chicken/Egypt/Q1995D/2010(H5N1),NA,N1
KF881626,A/chicken/Egypt/M7217B/2013(H5N1),NA,N1
KJ816935,A/swine/Shandong/SD1/2013(H1N1),NA,N1
KM267775,A/crow/India/02CA02/2012(H5N1),NA,N1
KM438108,A/Quebec/26_041105/2005(H3N2),NA,N2
KM892800,A/chicken/Bali/U8661/2009(H5N1),NA,N1
KP288318,A/quail/Nanchang/6631/2013(H5N1),NA,N1
KP336296,A/chicken/Bhutan/02CL505/2013(H5N1),NA,N1
KP413267,A/silkie_chicken/Shenzhen/2139/2013(H7N9),NA,N9
KP415422,A/silkie_chicken/Dongguan/157/2014(H7N9),NA,N9
KP638521,A/Vietnam/UT36250_1/2010(H5N1),NA,N1
KP657911,A/duck/Zhejiang/LS02/2014(H7N9),NA,N9
KP715066,A/whooper_swan/Shanxi/17L/2015(H5N1),NA,N1
KP766143,A/chicken/Shanghai/S3065/2014(H7N9),NA,N9
KP766163,A/chicken/Shanghai/S3326/2014(H7N9),NA,N9
KP864449,A/Huai'an/062/2014(H7N9),NA,N9
KP864452,A/chicken/Huai'an/007/2014(H7N9),NA,N9
KP872891,A/quail/Vietnam/CVVI_49/2010(H5N1),NA,N1
KR732426,A/chicken/Pekalongan/BBVW/2007(H5N1),NA,N1
KR732481,A/chicken/Vietnam/NCVD_675/2011(H5N1),NA,N1
KR732489,A/chicken/Egypt/096L_NLQP/2009(H5N1),NA,N1
KR732531,A/chicken/Egypt/0813_NLQP/2008(H5N1),NA,N1
KR732533,A/chicken/Garut/BBVW_223/2007(H5N1),NA,N1
KR732553,A/chicken/West_Java/TJA/2008(H5N1),NA,N1
KR732564,A/duck/Vietnam_SonLa/NCVD_33/2007(H5N1),NA,N1
KT220541,A/chicken/Egypt/F9514A/2014(H5N1),NA,N1
KT220547,A/chicken/Egypt/S7653E/2013(H5N1),NA,N1
KU143339,A/chicken/Wuhan/HAQL07/2014(H5N1),NA,N1
KU143373,A/duck/Wenzhou/RAQL10/2015(H7N9),NA,N9
KU715877,A/chicken/Egypt/A10758D/2015(H5N1),NA,N1
KX513109,A/duck/Vietnam/QT1456_2/2012(H5N1),NA,N1
KX513165,A/duck/Vietnam/QT1727/2013(H5N1),NA,N1
KX513192,A/swallow/Vietnam/NT22/2013(H5N1),NA,N1
KY614834,A/chicken/Sleman/04141596/2014(H5N1),NA,N1
KY614842,A/chicken/Lampung_Utara/03160217/2016(H5N1),NA,N1
KY614850,A/chicken/Lampung_Utara/03160218/2016(H5N1),NA,N1
KY614858,A/eagle/Jakarta_Timur/20616_206_III/2016(H5N1),NA,N1
KY614874,A/chicken/Kuningan/08160178_003/2016(H5N1),NA,N1
KY614906,A/chicken/Sleman/04160326/2016(H5N1),NA,N1
KY614914,A/chicken/Banyuwangi/04160330/2016(H5N1),NA,N1
KY614953,A/chicken/Kediri/04160512/2016(H5N1),NA,N1
KY614969,A/chicken/Lamongan/04160418/2016(H5N1),NA,N1
KY614985,A/duck/Sidrap/07160336_3/2016(H5N1),NA,N1
KY751131,A/chicken/Jiangxi/JX4/2017(H7N9),NA,N9
KY751132,A/chicken/Zhejiang/JH16/2017(H7N9),NA,N9
LC379960,A/chicken/Egypt/CL69/2013(H5N1),NA,N1
MF116319,A/duck/China/E26/2012(H5N1),NA,N1
MF116320,A/goose/China/E43/2012(H5N1),NA,N1
MF280192,A/chicken/Guangdong/Q26/2017(H7N9),NA,N9
MF629951,A/chicken/Fujian/S1322/2014(H7N9),NA,N9
MF629983,A/chicken/Fujian/S4518/2015(H7N9),NA,N9
MF629999,A/chicken/Guangdong/S1200/2015(H7N9),NA,N9
MF630111,A/chicken/Guangdong/SD027/2017(H7N9),NA,N9
MF630151,A/chicken/Guangdong/SD034/2017(H7N9),NA,N9
MF630159,A/chicken/Guangdong/SD1433/2016(H7N9),NA,N9
MF630199,A/chicken/Henan/S1425/2014(H7N9),NA,N9
MF630207,A/chicken/Hunan/S12753/2016(H7N9),NA,N9
MF630327,A/chicken/Ningxia/S1152/2014(H7N9),NA,N9
